YearRural,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,100,,,,,,100,100,,100,100,,100,100,100,,,100,,,,,58.94843202,90.89330059,100,100,,,,,,100,,,0.01,,59.4583103,,71.68682168,,,,,13.57281971,100,,100,100,100,100,,,,,,,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.7605473,,,,,,,100,100,100,,,,,100,100,100,100,58.81785656,100,90.11886684,,,,,100,,100,,,100,,,,,100,100,100,100,,,,,,100,,,,,,,100,,,,,,,,,100,99.90054896,100,,,4.043913725,,100,100,100,,,40.52385932,,,,,100,100,100,100,100,100,,,100,,100,,,,,100,,100,100,,,,,100,,,,,,19.45481322,,100,100,,,,,,,,,,,,57.9485631,,,,100,100,100,,,,,,100,,,,
,,,,,100,,,,,,100,100,,100,100,3.17101853,100,100,100,42.79484025,,100,,,,3.973637411,87.02842037,91.15787721,100,100,,,,,6.110515351,100,,,,,72.28858132,,73.39487552,,,,,14.57185459,100,,100,100,100,100,,,55.37917519,,,45.79456876,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.58286894,,,,,,31.25708705,100,100,100,,31.01029741,,,100,100,100,100,68.3726561,100,93.36653296,,,,,100,,100,,,100,,,,,100,100,100,100,,,,,,100,,,,,,,100,,,,,,,,,100,99.8874134,100,,,13.60678347,,100,100,100,,,43.67166732,,,,,100,100,100,100,100,100,,73.90081047,100,,100,,,,,100,,100,100,,,,,100,,,,,56.44304564,7.920005129,,100,100,,,,,,,,,,,,64.87392243,,1.978019082,,100,100,100,,,,,,100,,,,
,,,,,100,,,,,,100,100,,100,100,,100,100,100,48.90526011,,100,,12.78757043,,2.684903344,62.01330143,91.46222101,100,100,,,,,7.075109065,100,,,,,71.43974434,,73.81837835,,,,,15.57035542,100,,100,100,100,100,,,65.38874475,,89.59532287,55.62209723,,,100,,,100,,100,100,100,,,,100,,100,100,100,,99.53524839,,,,,,37.01250212,100,100,100,,53.35017052,,,100,100,100,100,69.29155989,100,93.21381507,,,,,100,,100,,,100,,,,,100,100,100,88.47579383,,0.889517616,,,,100,,,,79.01463247,,,100,,,13.92083214,,,10.74214107,,,100,99.8943585,100,,,14.35547998,,100,100,100,,,44.6100534,,,23.63993469,,100,100,100,100,100,100,,76.7974036,100,,100,,,,,100,,100,100,,,,,100,,,,,59.77138452,8.012709191,,100,100,,,2.648260528,,,,,,,,,64.54188989,,,,100,100,100,90.94319022,,,85.79200544,,100,,30.77044689,6.672268756,3.023971067
,,,,,100,,,,,,100,100,,100,100,0.132305402,100,100,100,51.01119498,,100,,12.95687776,,4.191793186,64.30439787,91.7704847,100,100,2.1188632,,,,7.731600488,100,100,,,,73.58962076,,74.27032349,,,,,16.56565094,100,,100,100,100,100,,,66.70244253,,92.64984545,56.47528857,,,100,,,100,,100,100,100,,2.00958829,,100,2.887373993,100,100,100,,99.63467166,,,,64.90338012,,38.71710237,100,100,100,39.58033844,36.1335232,,,100,100,100,100,70.21924966,100,93.06513884,,4.129531249,,,100,,100,,17.96754399,100,,,,,100,100,100,81.76189509,0.017752059,,,,,100,,,,85.5282791,,,100,,,20.22195625,,,9.182264648,,,100,99.92250435,100,46.94140568,,15.11295766,,100,100,100,,,45.58994441,,,2.749797261,49.34670579,100,100,100,100,100,100,,77.79630053,100,,100,4.874661673,,,,100,,100,100,,,,,100,,,,,61.48225842,8.297175344,,100,100,,,,,,,,,,,,64.24904901,,,,100,100,100,86.77798959,,,91.11602968,,100,,26.91729396,,6.760162135
,,,,,100,,,,,,100,100,,100,100,2.238844849,100,100,100,53.11155547,,100,,23.16792885,,5.678483091,82.55258411,92.08626699,100,100,1.293044065,,,,8.386175515,100,100,,,,74.20928236,,74.7630981,,,,,13.7,100,,100,100,100,100,,,67.7576492,,93.02587784,57.22355108,,,100,,,100,,100,100,100,,1.355150786,,100,3.798005665,100,100,100,,99.79416445,,,,64.34903999,,44.52286304,100,100,100,35.45754058,45.72729955,,,100,100,100,100,71.16183528,100,92.93955045,,,,,100,,100,,12.13775096,100,,,,,100,100,100,100,0.075556006,,,,,100,,,,84.3841666,,,100,,,22.82279217,,,11.10169393,,,100,99.95773137,100,41.55658319,,15.88250289,,99.98559437,100,100,,,46.61757321,,,4.879923411,51.36098903,100,100,100,100,100,100,,75.23480444,100,,100,2.060411213,,80.18822587,,100,,100,100,,,,,100,,,,,63.21471701,9.389898133,,100,100,,,,,,,75.22663571,,66.4473654,,,64.02893694,,,,100,100,100,86.68203851,,4.177109336,90.82647635,,100,,27.96685272,0.568149628,4.233107497
,,,,,100,,,,,,100,100,,100,100,5.436109298,100,100,100,55.21228414,,100,,19.84423833,,7.150682467,67.94611429,92.41406231,100,100,1.549491856,,,,9.045431135,100,100,,,,74.94221373,,70.85432326,,,,,18.53380966,100,,100,100,100,100,,,68.7782304,78.78121028,92.87962094,55.89171594,,6.134915335,100,,,100,,100,100,100,,2.500003678,,100,5.963841324,100,100,100,,100,39.02955487,,,65.18052652,9.447627816,45.69553731,100,100,100,37.45816719,51.58581269,,,100,100,100,100,72.12457133,100,93.03449711,99.9,,,,100,,100,,10.18798187,100,,,,,100,100,100,100,0.146068491,,,,,100,,,,86.4205374,,,100,,,20.01127607,,,12.13665923,,,100,100,100,42.35094113,0.934199591,16.66663132,,100,100,100,,,47.70705379,,56.79811384,7.105242027,53.09369756,100,100,100,100,100,100,,79.81321255,100,,100,3.893699269,,84.36518751,,100,,100,100,,,,,100,,,,,64.97314463,10.49177624,,100,100,,,0.212913842,,,,77.44276174,,70.96895287,,,63.89768134,,1.877030397,,100,100,100,86.64876778,,,94.69499433,,100,,29.07668154,1.263208289,6.958865049
,,,,,100,,,,,,100,100,,100,100,8.11383295,100,100,100,57.31633448,2.777057832,100,,32.95676143,,8.613678994,71.04176396,92.75804852,100,100,1.803704661,,,,9.713076885,100,100,,,,74.17947298,,75.93165522,19.88053977,,,,19.50026321,100,,100,100,100,100,88.43568451,,69.86320613,81.98750546,93.8161951,56.44596118,,7.981398737,100,,,100,47.04390862,100,100,100,,3.647287383,,100,8.179042426,100,100,100,,100,47.96536323,,,66.02085867,8.80615025,36.95100717,100,100,100,39.47555205,59.41671158,,,100,100,100,100,78.82374291,100,93.34000016,97.31860112,,,,100,,100,,17.57072581,100,,,,,100,100,100,100,0.216908891,,,,0.831307182,100,,,,87.74703139,,,100,,,29.23524849,,,13.19321459,,10.15408895,100,100,100,43.28859998,1.629561771,17.46814081,,100,100,100,,,48.86794512,2.588258412,73.38698954,4.6576524,54.84175241,100,100,100,100,100,100,,80.83529145,100,,100,5.744632507,,85.08196919,,100,,100,100,,,24.20267246,,100,,,,,66.76320338,11.60741105,,100,100,,,2.508797094,,,,78.35759615,,75.08693171,,,63.90643566,,,,100,100,100,85.26994531,99.28305133,,90.51908693,,100,,30.24250154,1.803358015,7.071053522
,,,,,100,,,,,,100,100,,100,100,5.881475742,100,100,100,59.42915925,2.53699146,100,,24.22403726,,10.0747982,71.83858403,93.12256692,100,100,1.977852829,,,,10.39769349,100,100,,,,76.89600209,,76.6432185,22.16022667,,,,20.45069313,100,,100,100,100,100,62.04608302,,71.02828365,82.68424377,94.22890731,59.83627572,,8.757263106,100,,,100,55.52105512,100,100,100,,4.806060788,,100,10.45539668,100,100,100,,100,49.79784683,,,66.87259402,9.39286157,41.05922064,100,100,100,41.51317118,69.5752021,,,100,100,100,100,74.13638822,100,95.66548904,97.54600636,0.183838449,,,100,,100,99.68854626,20.18256582,100,,,,,100,100,100,100,1.183102516,,,,,100,,,,87.68548313,,,100,,,32.59066886,,,14.27710133,,7.406847877,100,100,100,44.26270511,0.46799922,18.29501667,,100,100,100,,,50.11932482,,73.62489528,11.54295831,56.60979246,100,100,100,100,100,100,,81.86945165,100,,100,7.84425288,,84.03159851,,100,,100,100,,,47.67189428,,100,,,,,68.59115883,12.73821713,,100,100,,,1.22212675,,,,79.28419506,,79.06346857,,,64.10140983,,,,100,100,100,86.08593821,98.987631,1.173940416,92.20936406,72.37815261,100,92.88451153,27.08157934,2.715956516,7.197111911
